task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	rss	vmem	peak_rss	peak_vmem	rchar	wchar	duration	realtime	rss	vmem	peak_rss	peak_vmem	rchar	wchar	syscr	syscw	read_bytes	write_bytes
1	9d/505016	13493516	buildIndex (mouse_genome_mm9)	COMPLETED	0	2016-11-26 06:52:52.116	1h 23m 34s	1h 22m 49s	99.5%	4.5 GB	4.6 GB	4.6 GB	4.6 GB	10.1 GB	3.4 GB	5013678	4968615	4830957568	4980912128	4935729152	4980928512	10832504233	3610851133	41493	372925	4722688	3611185152
3	c9/2de447	13514765	mapping (wgEncodeCshlLongRnaSeqCnsE18Rep1)	COMPLETED	0	2016-11-26 08:16:26.259	2h 5m 4s	2h 4m 16s	795.1%	5.7 GB	7 GB	5.8 GB	7.1 GB	132.2 GB	54.9 GB	7504404	7456290	6148001792	7506399232	6253727744	7612981248	141971921934	58984423313	28939016	96231678	4150722560	11815563264
6	87/9ffb11	13546742	makeTranscript (wgEncodeCshlLongRnaSeqCnsE18Rep1)	COMPLETED	0	2016-11-26 10:21:30.810	4m 32s	3m 52s	455.0%	654.4 MB	1.2 GB	1.1 GB	1.8 GB	3.1 GB	184.2 MB	271892	232085	686211072	1302966272	1190137856	1957310464	3361232713	193156347	354625	268449	1469587456	193249280
5	b6/d32daf	13514763	mapping (wgEncodeCshlLongRnaSeqCnsE14Rep1)	COMPLETED	0	2016-11-26 08:16:26.107	2h 13m 4s	2h 12m 24s	795.3%	5.2 GB	6.2 GB	5.2 GB	6.2 GB	135.7 GB	57.8 GB	7983609	7944029	5584527360	6615494656	5593264128	6680596480	145694988151	62038659309	29209486	96850491	7430057984	12514967552
7	b7/4c0f13	13548746	makeTranscript (wgEncodeCshlLongRnaSeqCnsE14Rep1)	COMPLETED	0	2016-11-26 10:29:29.814	5m 1s	4m 24s	418.0%	532 MB	1 GB	1 GB	1.6 GB	3.3 GB	182.2 MB	300945	263862	557854720	1087082496	1091018752	1691086848	3516596717	191084438	364683	264830	1545220096	191238144
2	69/c3bcef	13514764	mapping (wgEncodeCshlLongRnaSeqCnsE18Rep2)	COMPLETED	0	2016-11-26 08:16:26.183	2h 20m 5s	2h 19m 24s	823.3%	6.4 GB	7.6 GB	6.4 GB	7.6 GB	157.4 GB	74.9 GB	8404595	8363761	6825775104	8177442816	6830100480	8181911552	169050499009	80463241353	34559523	114989999	8155303936	18266435584
8	2d/0fc17d	13550478	makeTranscript (wgEncodeCshlLongRnaSeqCnsE18Rep2)	COMPLETED	0	2016-11-26 10:36:30.879	6m 1s	5m 27s	390.0%	845.2 MB	1.4 GB	1 GB	1.6 GB	4.6 GB	185.2 MB	360952	326572	886284288	1462472704	1111752704	1705766912	4973000624	194180671	457899	269563	2188431360	194338816
4	40/1b1817	13514762	mapping (wgEncodeCshlLongRnaSeqCnsE14Rep2)	COMPLETED	0	2016-11-26 08:16:26.027	2h 33m 33s	2h 32m 46s	795.9%	6.4 GB	7.6 GB	6.4 GB	7.7 GB	166.9 GB	84.6 GB	9212897	9166119	6854909952	8203354112	6865330176	8214581248	179215056481	90859924275	45435572	148345695	7996137472	18038177792
9	8d/194032	13553887	makeTranscript (wgEncodeCshlLongRnaSeqCnsE14Rep2)	COMPLETED	0	2016-11-26 10:49:59.047	6m 2s	5m 23s	393.0%	828 MB	1.4 GB	1 GB	1.6 GB	4.1 GB	183.3 MB	361875	323496	868184064	1472950272	1096167424	1691086848	4416361870	192217178	455623	266824	1974575104	192364544
